Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
Aditya Birla Sun Life Business Cycle Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1734.47,-0.0409,-0.0409,-0.0502,-0.0034,-0.0508,0.1059,0.0599,0.1334,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.060988504,-96.64280277,86.36,0.037136011,93.53,20.72374228,62.25649691,66,310
UTI MNC Fund - Growth,Regular,Sectoral/Thematic,3,2754.85,-0.0375,-0.0373,-0.0619,-0.0521,-0.0636,0.0983,0.049,0.1233,0.102,0.1057,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.061795806,-95.50324465,86.53,0.0277898,95.16,18.94086496,62.08334598,67,315
ICICI Prudential Bharat Consumption Fund - Growth,Regular,Sectoral/Thematic,-,3075.94,-0.0364,-0.0376,-0.0826,-0.0998,-0.0794,0.0542,0.0318,0.1479,0.1383,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.055762162,-106.6278607,84.85,0.058642902,89.78,23.28331862,61.70232745,68,324
Tata Business Cycle Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,2698.78,-0.0407,-0.0286,-0.0521,-0.0355,-0.0547,0.0734,0.0232,0.1611,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.048260861,-122.8034462,82.4,0.069794627,87.83,25.61341571,61.31436628,69,337
Nippon India US Equity Opportunities Fund - Growth,Regular,Sectoral/Thematic,-,747.12,0.0093,0.0077,-0.0195,0.0144,-0.0252,0.0641,0.112,0.1833,0.1072,0.1446,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.031771476,-186.8311079,72.73,0.04455225,92.24,29.53221536,61.30388614,70,338
Franklin Asian Equity Fund - Growth,Regular,Sectoral/Thematic,-,371.57,-0.0696,-0.0139,0.0636,0.1658,0.0544,0.3143,0.2219,0.1362,0.0275,0.0942,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.137244521,-41.42751886,94.7,0.111898914,80.49,21.2180053,61.04420212,71,352
SBI Equity Minimum Variance Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,213.11,-0.0316,-0.0214,-0.0518,-0.0184,-0.0475,0.0936,0.024,0.1331,0.1228,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.053860551,-109.6609642,84.39,0.049182814,91.43,20.67078553,61.01431421,72,353
Sundaram Consumption Fund - Growth,Regular,Sectoral/Thematic,5,1460.62,-0.0347,-0.0415,-0.1008,-0.1188,-0.0919,0.0208,0.048,0.1378,0.12,0.1353,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.052235496,-114.4662252,83.66,0.054224644,90.55,21.50044131,60.86317652,73,358
Nippon India Consumption Fund - Growth,Regular,Sectoral/Thematic,-,2520.75,-0.0338,-0.0392,-0.0947,-0.1275,-0.0925,0.0299,0.0345,0.1352,0.1488,0.133,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.056598363,-105.4818498,85.02,0.058831429,89.75,21.04148279,60.84759312,74,360
Axis Quant Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,870.48,-0.0405,-0.0188,-0.0304,0.0222,-0.0405,0.126,0.0058,0.1331,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.064611052,-90.91323925,87.22,0.071535236,87.53,20.67078553,60.69331421,75,361
Aditya Birla Sun Life MNC Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,2,3418.67,-0.0477,-0.0369,-0.0734,-0.0991,-0.0709,0.0569,0.0371,0.1136,0.0597,0.0875,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.054516948,-109.0138053,84.49,0.029844229,94.8,17.22859665,60.67843866,76,362
Tata Housing Opportunities Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,494.24,-0.0365,-0.0291,-0.0406,-0.0331,-0.0335,0.0996,0.0216,0.1272,,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.05490428,-107.467031,84.72,0.054767874,90.46,19.62930274,60.40572109,77,371
Axis ESG Integration Strategy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,-,1152.16,-0.0291,-0.0381,-0.0604,-0.0185,-0.057,0.0605,0.0469,0.1266,0.083,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.044292106,-134.0983872,80.7,0.034900669,93.92,19.52338923,60.19535569,78,374
